ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
5,معلومات السياح بالضبط.,السياحية على طول.,المكتب تع معلومات السياح.,مكتب المعلومات السياحية.,السياح على طول.,مكتب المعلومات السياحية.,مكتب معلومات السياح.,مكتب استعلامات السياح.,مكتب المعلومات السياحية .,مكتب استعلامات السياحة .,معلومات السياح بالزبط.,جدام استعلامات السياح بالضبط.,مكتب المعلومات ديال السياحة.,المعلومات السياحية بالضبط.,استعلامات السياح بالزبط.,مكتب معلومات السياح.,مكتب المعلومات السياحيي.,السائح تماما .,امام مكتب المعلومات السياحية.,استعلامات السياح بالضبط.,مكتب معلومات السياح.,مكتب معلومات السياح .,المعلومات السياحيه بالضبط.,الإرشادات السياحية بالضبط.,معلومات السواح بالضبط.,البيرو متاع الارشادات السياحية.
9,قبل بهالعنوان هون.,العنوان دة هنا.,في هاذ الجيهة.,العنوان في المنطقة هون.,العنوان ده هنا.,عنوان بهل المنطقة.,العنوان هنا ابد.,بهالعنوان هون .,هضا هنا .,العنوان ده هنا .,هون من قبل.,في هالمنطقة من قبل.,العنوان هنا.,العنوان هنا.,هدا العنوان هون.,بالعنوان دا هنا.,بهذا العنوان هوني.,بالقرب من هنا .,ابد بالهعنوان.,هاد العنوان هنايا.,بهذا العنوان هنا.,عن هالعنوان هون.,بهذا العنوان هانا.,قريبة من هوني.,العنوان هدا هنايا.,بالادريسة هاذي هوني.
11,ما تشوف صيدلية.,ما تشوف صيدلية.,تشوف صيدلية.,ما تشوف صيدلية.,لغاية متشوف صيدلية.,ما تشوف الصيدلية.,ما تشوف صيدلية.,تشوف صيدلية.,ما تشوف الصيدلية.,ما تلقي صيدلية.,ما تشوف صيدلية.,تشوف صيدلية.,تلقى الصيدلية.,ما تلاقي الصيدلية.,لتلاقي صيدلية.,تشوف صيدلية.,ان اتشوف صيدليه.,حتى تجد صيدلية .,تشوف الصيدلية.,تشوف صيدلية.,لين تلقى صيدلية.,تشوف الصيدلية.,تبسر صيدليه.,تارى الفارمسي.,تشوف صيدلية.,لين تشوف صيدلية.
26,الفطور؟,الفطار؟,تع الصباح؟,سعر الفطور؟,الفطار ده؟,يكلف الريوك؟,الريوك؟,حق الترويقة؟,الفطور؟,الفطار؟,الفطور؟,الريوق؟,ديال الفطور؟,الفطور؟,الفطور؟,كم الفطور؟,التغيوقه؟,الإفطار ؟,سعر الريوق؟,يدير الفطور؟,الفطور؟,حق هالفطور؟,هو الصبوح؟,فطور الصباح؟,الفطور؟,فطور الصباح؟
27,بقدر أساعدك؟,أقدر أساعدك؟,نقدر نعاونك؟,بقدر أساعدك؟,أقدر اساعدك؟,اكدر اساعدك؟,اكدر اساعدك؟,فيني ساعدك؟,نقدر نساعدك؟,أقدر اساعدك؟,فيني ساعدك؟,اقدر اساعدك؟,نقدر نساعدك؟,أقدر اساعدك؟,بقدر أساعدك؟,ممكن اساعدك؟,اطيق اساعدك؟,مساعدتك ؟,اقدر اساعدك؟,نقدر نعاونك؟,اقدر اساعدك؟,بقدر اساعدك؟,اقدر اساعدك؟,النجم نعاونك؟,نقدر نساعدك؟,انجم نعاونك؟
30,تالت مفرق.,الناصية الثالثة.,في الطريق الثالثة.,عند الدخلة التالتة.,الناصية التالتة.,ثالث زوية.,ثالث ركن.,عالزاوية التالتة.,للشوكة الثالثة.,الناصية التالته.,بالدخلة التالتة.,لفة يسار.,الزاوية الثالثة.,الزواية الثالثة.,الكورنر التالتة.,الكورنة التالتة.,ثالث زاويه.,الناصية الثالثة .,للتقاطع الثالث.,دور على ليسر.,ثالث زاوية.,الزاوية الثالثة.,الركن الثالث.,مع الزنقة الثالثة.,خود يسار.,الثالثة عاليسار.
50,وسكر بقهوتك؟,فى القهوة بتاعتك؟,السكر فالقهوة ديالك؟,مع قهوتك؟,على القهوة بتاعتك؟,وشكر بالكهوة مالتك؟,وشكر بكهوتك؟,سكر بقهوتك؟,سكر في قهوتك؟,سكر في قهوتك؟,مع القهوة؟,في القهوة؟,في القهوة ديالك؟,في قهوتك؟,الكريمة مع قهوتك؟,سكر في قهوتك؟,بالقهوي مالتك؟,وسكر في قهوتك ؟,و سكر بالقهوة؟,السكر في القهوة ديالك؟,سكر في قهوتك؟,سكر بقهوتك؟,في القهوة؟,السكر في قهوتك؟,سكر في قهوتك؟,سكر في قهوتك؟
64,الميتين دولار تبعي؟,اللى بميتين دولار؟,تاوعي لي راهوم فالشاك؟,بميتين دولار؟,بتاعى بمتين دولار؟,أبو الميتين دولار؟,الميتين دولار مالتي؟,تبع المتين دولار؟,ميتين دولار بتاعي؟,بميتين دولار؟,بقيمة ميتين دولار؟,بو ميتين دولار كاش؟,ديالي ديال مئتي دولار؟,دا الميتين دولار؟,الميتين دولار تبعي؟,البي متين دولار؟,قيمتو ميتين دولار؟,دولار الخاص بي ؟,شيك بمائتي دولار؟,ديال ميتين دولار؟,المئتين دولار حقتي؟,تبعي بميتين دولار؟,شيك الميتين الدولار؟,من الشاك هذا؟,الي بميتين دولار؟,بميتين دولار متاعي؟
74,فيني إذا سمحت.,كلمنى لو سمحت.,عيطلي من فضلك.,لو سمحت كلمني.,يظهر، كلمني.,رجاءً اتصل بيه.,خابرني بلا زحمة.,عمل معروف دقلي.,كلمني لو سمحت.,سمحت كلمني .,فيني رجاءً.,اتصل فيني.,اتصل بيا عافاك.,عليا لو سمحت.,احكي معي.,فضلك اتصل على.,رجاءا اتصل بيي.,فضلك أتصل بي .,اتصل فيني لو سمحت.,عيط ليا عفاك.,يظهر، الرجاء الاتصال بي.,سمحت احكي معي.,سمحت اتصل لي.,كلمني عيشك.,كلمني لو سمحت.,كلمني عيشك.
86,الكافيه؟,الكوفى شوب؟,جايا القهوة؟,الكوفي شوب؟,الكوفي شوب؟,صايره الكهوة؟,الكهوة؟,القهوة؟,الكافي؟,القهوة؟,القهوة؟,الكوفي شوب؟,كاين المقهى؟,المقهى؟,الكوفي شوب؟,المقهى؟,مكان الجيخانه؟,المقهى ؟,صاير المقهي؟,القهوة؟,المقهى؟,الكوفي شوب؟,هو الكافيه؟,تجي القهوة؟,مكان القهوه؟,القهوة؟
