ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
5,هو هنيك، قدام معلومات السياح بالضبط.,هو هناك، قدام الاستعلامات السياحية على طول.,راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.,هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.,هناك، قدام مكتب ارشادات السياح على طول.,موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.,موجود هناك، بالضبط كدام مكتب معلومات السياح.,صار هونيك، بالظبط قدام مكتب استعلامات السياح.,قاعد غادي، بالضبط قدام مكتب المعلومات السياحية .,ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .,موجود هنيك، قدام مكتب معلومات السياح بالزبط.,هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.,راه تما، بالضبط قبالت مكتب المعلومات ديال السياحة.,شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.,هناك، قدام مكتب استعلامات السياح بالزبط.,هو هناك، بالظبط أمام مكتب معلومات السياح.,هو هنوك، بالضبط قدام مكتب المعلومات السياحيي.,هناك ، أمام بيانات السائح تماما .,اهو هناك، بالضبط جدام امام مكتب المعلومات السياحية.,راه تما، مقابل مكتب استعلامات السياح بالضبط.,هناك، بالضبط مقابل مكتب معلومات السياح.,هيو هناك، بالزبط قدام مكتب معلومات السياح .,هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.,أوكي غادي، قدام مكتب الإرشادات السياحية بالضبط.,اوني غادي، قدام متاع معلومات السواح بالضبط.,اهوكا غادي، بالضبط قدام البيرو متاع الارشادات السياحية.
9,مالي سمعان من قبل بهالعنوان هون.,عمرى ما سمعت عن العنوان دة هنا.,جامي سمعت بهاذ العنوان في هاذ الجيهة.,أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون.,انا عمرى ماسمعت عن العنوان ده هنا.,عمري ما سامع بهيج عنوان بهل المنطقة.,ما سامع بهذا العنوان هنا ابد.,بعمري ما سمعت بهالعنوان هون .,ماعمريش سمعت بالعنوان هضا هنا .,عمري ما سمعت عن العنوان ده هنا .,ما سمعت بهيك عنوان هون من قبل.,ما قط سمعت بهالعنوان في هالمنطقة من قبل.,ماسبقليش سمعت بهاد العنوان هنا.,ماقد سمعت بدا العنوان هنا.,عمري ما سمعت هدا العنوان هون.,ما حصل سمعت بالعنوان دا هنا.,ابد ما كن اسمعتو بهذا العنوان هوني.,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,انا ماسمعت ابد بالهعنوان.,ما عمري سمعت هاد العنوان هنايا.,ما قد سمعت بهذا العنوان هنا.,ما عمري سمعت عن هالعنوان هون.,ماقد سمعتش ابدا بهذا العنوان هانا.,أنا منعرفش الادريسة هذه قريبة من هوني.,ماعمريش سمعت بيه العنوان هدا هنايا.,عمري ما سمعت بالادريسة هاذي هوني.
11,روح ساوي لبين ما تشوف صيدلية.,امشى على طول لحد ما تشوف صيدلية.,امشي قبالة حتى تشوف صيدلية.,امشي دغري لعند ما تشوف صيدلية.,امشي على طول لغاية متشوف صيدلية.,اطلع كبل لحد ما تشوف الصيدلية.,اطلع كبل لحد ما تشوف صيدلية.,روح دغري لحتى تشوف صيدلية.,أمشي طول لعند ما تشوف الصيدلية.,أمشي علطول لحد ما تلقي صيدلية.,إمشي مباشرة لحد ما تشوف صيدلية.,امش سيده لين تشوف صيدلية.,سير نيشان حتا تلقى الصيدلية.,امشي سيدا لين ما تلاقي الصيدلية.,خليك ماشي دغري لتلاقي صيدلية.,أمشي دغري لغاية تشوف صيدلية.,امشي كبل الى ان اتشوف صيدليه.,استمر في السير في هذا الطريق حتى تجد صيدلية .,روح سيده حتى تشوف الصيدلية.,سير نيشان حتا تشوف صيدلية.,امش على طول لين تلقى صيدلية.,روح دغري حتى تشوف الصيدلية.,امشي طوالي لوما تبسر صيدليه.,كمل القدام لين تارى الفارمسي.,برا طول لين تشوف صيدلية.,امشي طول طول حتى لين تشوف صيدلية.
26,بشقد الفطور؟,بكام الفطار؟,شحال القهوة تع الصباح؟,كم سعر الفطور؟,بكام الفطار ده؟,شكد يكلف الريوك؟,ابيش الريوك؟,أدي حق الترويقة؟,بكم الفطور؟,بكام الفطار؟,بأديش الفطور؟,بكم الريوق؟,شحال الثمن ديال الفطور؟,بكم الفطور؟,قديش الفطور؟,بي كم الفطور؟,بشقد التغيوقه؟,كم تكلفة الإفطار ؟,بجم سعر الريوق؟,شحال كا يدير الفطور؟,بكم الفطور؟,قديش حق هالفطور؟,بكم هو الصبوح؟,بقداش فطور الصباح؟,بقداش الفطور؟,بقداش فطور الصباح؟
27,شلون بقدر أساعدك؟,إزاى أقدر أساعدك؟,كيفاش نقدر نعاونك؟,كيف بقدر أساعدك؟,إزاي أقدر اساعدك؟,شلون اكدر اساعدك؟,شلون اكدر اساعدك؟,كيف فيني ساعدك؟,كيف نقدر نساعدك؟,ازاي أقدر اساعدك؟,كيف فيني ساعدك؟,شلون اقدر اساعدك؟,كيفاش نقدر نساعدك؟,كيف أقدر اساعدك؟,كيف بقدر أساعدك؟,كيف ممكن اساعدك؟,اشون اطيق اساعدك؟,كيف أستطيع مساعدتك ؟,كيف اقدر اساعدك؟,كيفاش نقدر نعاونك؟,كيف اقدر اساعدك؟,كيف بقدر اساعدك؟,كيف اقدر اساعدك؟,كيفاش النجم نعاونك؟,كيف نقدر نساعدك؟,كيفاش انجم نعاونك؟
30,روح عاليسار عند تالت مفرق.,روح شمال عند الناصية الثالثة.,دور على اليسار في الطريق الثالثة.,روح يسار من عند الدخلة التالتة.,امشي شمال لغاية الناصية التالتة.,اخذ يسره ثالث زوية.,اخذ يسرة يم ثالث ركن.,روح شمال عالزاوية التالتة.,أمشي يسار للشوكة الثالثة.,احود شمال عند الناصية التالته.,لف عالشمال بالدخلة التالتة.,خذ ثالث لفة يسار.,سيرعلى ليسر في الزاوية الثالثة.,روح يسار عند الزواية الثالثة.,روح شمال عند الكورنر التالتة.,أمشي شمال عند الكورنة التالتة.,غوح لليساغ عد ثالث زاويه.,اتجه يسارا عند الناصية الثالثة .,سير يسار للتقاطع الثالث.,مع القنت التالت دور على ليسر.,لف يسار عند ثالث زاوية.,روح شمال عند الزاوية الثالثة.,اخطى يسار عند الركن الثالث.,دور على الليسار مع الزنقة الثالثة.,عند تالت تقاطع خود يسار.,دور الدورة الثالثة عاليسار.
50,بتريد كريمة وسكر بقهوتك؟,تحب كريمة وسكر فى القهوة بتاعتك؟,تحب الكريمة و السكر فالقهوة ديالك؟,بتحب الكريمة والسكر مع قهوتك؟,عايز كريمة وسكر على القهوة بتاعتك؟,تحب اخليلك كريم وشكر بالكهوة مالتك؟,تريد كريمة وشكر بكهوتك؟,عبالك كريمة و سكر بقهوتك؟,تبي كريمة و سكر في قهوتك؟,تحب كريمة و سكر في قهوتك؟,بتحب كريما وسكر مع القهوة؟,بغيت سكر وكريمة في القهوة؟,واش تبغي كريم وسكر في القهوة ديالك؟,تبا كريم وسكر في قهوتك؟,بتحب السكر و الكريمة مع قهوتك؟,داير كريمة و سكر في قهوتك؟,اتغيذ كريمه وشكر بالقهوي مالتك؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تبا نحط لك كريم و سكر بالقهوة؟,واش تبغي لاكريم و السكر في القهوة ديالك؟,ودك بكريمة و سكر في قهوتك؟,بتحب كريما و سكر بقهوتك؟,تشتي كريمه وسكر في القهوة؟,تحب الكريمة و السكر في قهوتك؟,تبي حليب و سكر في قهوتك؟,تحب كريمة و سكر في قهوتك؟
64,خرج تصرفلي شيك الميتين دولار تبعي؟,ممكن تدفع الشيك بتاعى اللى بميتين دولار؟,تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟,ممكن تصرفلي الشيك بميتين دولار؟,ممكن تصرفلى الشيك بتاعى بمتين دولار؟,ممكن تصرفلي الصك مالتي أبو الميتين دولار؟,تكدر تصرف صك الميتين دولار مالتي؟,فيك تصرفلي الشيك تبعي تبع المتين دولار؟,تقدر تصرفلي شيك ميتين دولار بتاعي؟,ممكن تصرفلي شيك بميتين دولار؟,ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟,ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش؟,واش ممكن تصرف الشيك ديالي ديال مئتي دولار؟,ممكن تعطيني كاش للشيك دا الميتين دولار؟,بتقدر تصرفلي شك الميتين دولار تبعي؟,هل يمكنك تصرف شيكي البي متين دولار؟,تطيق تصرفلي شيك قيمتو ميتين دولار؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,هل تقدر تصرفلي شيك بمائتي دولار؟,تقدر تخلص الشيك ديالي ديال ميتين دولار؟,تقدر تصرف لي شيك المئتين دولار حقتي؟,بتقدر تصرف هاد الشيك تبعي بميتين دولار؟,تقدر تصرف لي شيك الميتين الدولار؟,تنجم تصبلي الميتين دولار من الشاك هذا؟,ممكن تصرفلي الشيك متاعي الي بميتين دولار؟,تنجم تصبلي ها الشاك بميتين دولار متاعي؟
74,إذا لازم يبين، اتصل فيني إذا سمحت.,لو المفروض يظهر، كلمنى لو سمحت.,ويدا لازم يظهر، عيطلي من فضلك.,ازا بده يظهر، لو سمحت كلمني.,لو المفروض يظهر، كلمني.,اذا صار شي، رجاءً اتصل بيه.,اذا لازم يبين، خابرني بلا زحمة.,إذا لازم يبين، عمل معروف دقلي.,لو المفروض يبان، كلمني لو سمحت.,لو لازم يظهر، لو سمحت كلمني .,إذا بين، اتصل فيني رجاءً.,اذا المفروض يصير، اتصل فيني.,الى خصه يبان، اتصل بيا عافاك.,اذا لازم يظهر، اتصل عليا لو سمحت.,ازا لازم يظهر، احكي معي.,اذا مفروض يظهر، من فضلك اتصل على.,اذا لازم يبين، رجاءا اتصل بيي.,إذا حدث ذلك ، من فضلك أتصل بي .,اذا كان مفروض يبين، اتصل فيني لو سمحت.,إلا خصو يبان، عيط ليا عفاك.,اذا كان يجب ان يظهر، الرجاء الاتصال بي.,اذا لازم يظهر، لو سمحت احكي معي.,اذا لازم يظهر، لو سمحت اتصل لي.,لو لازم يضهر، كلمني عيشك.,كانا لازم يبان، كلمني لو سمحت.,لو لازم يضهر، كلمني عيشك.
86,وين الكافيه؟,فين الكوفى شوب؟,وين جايا القهوة؟,وين الكوفي شوب؟,فين الكوفي شوب؟,وين صايره الكهوة؟,وين الكهوة؟,وين القهوة؟,وين الكافي؟,فين القهوة؟,وين القهوة؟,وين الكوفي شوب؟,في كاين المقهى؟,فين المقهى؟,وين الكوفي شوب؟,وين المقهى؟,وين مكان الجيخانه؟,أين المقهى ؟,وين صاير المقهي؟,فين القهوة؟,وين المقهى؟,وين الكوفي شوب؟,اين هو الكافيه؟,وين تجي القهوة؟,وين مكان القهوه؟,ويني القهوة؟
