ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
5,هنيك، معلومات السياح بالضبط.,هناك، الاستعلامات السياحية طول.,راهو لهيك، بالضبط المكتب تع معلومات السياح.,هيو هناك، بالزبط مكتب المعلومات السياحية.,هناك، مكتب ارشادات السياح طول.,موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.,موجود هناك، بالضبط كدام مكتب معلومات السياح.,صار هونيك، بالظبط مكتب استعلامات السياح.,قاعد غادي، بالضبط مكتب المعلومات السياحية,ده قدامك هناك، يادوبك مكتب استعلامات السياحة,موجود هنيك، مكتب معلومات السياح بالزبط.,الصوب، بالضبط جدام استعلامات السياح بالضبط.,راه تما، بالضبط قبالت مكتب المعلومات ديال السياحة.,شوفه هناك، مكتب المعلومات السياحية بالضبط.,هناك، مكتب استعلامات السياح بالزبط.,هناك، بالظبط مكتب معلومات السياح.,هنوك، بالضبط مكتب المعلومات السياحيي.,بيانات السائح تماما,اهو هناك، بالضبط جدام مكتب المعلومات السياحية.,راه تما، مكتب استعلامات السياح بالضبط.,هناك، بالضبط مكتب معلومات السياح.,هيو هناك، بالزبط مكتب معلومات السياح,هوذاك هاناك، مكتب المعلومات السياحيه بالضبط.,غادي، مكتب الإرشادات السياحية بالضبط.,اوني غادي، متاع معلومات السواح بالضبط.,غادي، بالضبط البيرو متاع الارشادات السياحية.
9,مالي سمعان بهالعنوان هون.,عمرى سمعت العنوان دة هنا.,جامي سمعت بهاذ العنوان الجيهة.,سمعت أبداً العنوان المنطقة هون.,عمرى ماسمعت العنوان ده هنا.,عمري سامع بهيج عنوان بهل المنطقة.,سامع بهذا العنوان ابد.,بعمري سمعت بهالعنوان,سمعت بالعنوان,عمري سمعت العنوان ده,سمعت بهيك عنوان قبل.,سمعت بهالعنوان هالمنطقة قبل.,سمعت بهاد العنوان هنا.,ماقد سمعت بدا العنوان هنا.,عمري سمعت هدا العنوان هون.,حصل سمعت بالعنوان دا هنا.,كن اسمعتو بهذا العنوان هوني.,اسمع بهذا العنوان بالقرب,ماسمعت بالهعنوان.,عمري سمعت العنوان هنايا.,سمعت بهذا العنوان هنا.,عمري سمعت هالعنوان هون.,ماقد سمعتش بهذا العنوان هانا.,منعرفش الادريسة قريبة هوني.,سمعت بيه العنوان هدا هنايا.,عمري سمعت بالادريسة هوني.
11,روح ساوي لبين تشوف صيدلية.,امشى طول تشوف صيدلية.,امشي قبالة تشوف صيدلية.,امشي دغري تشوف صيدلية.,امشي طول متشوف صيدلية.,اطلع تشوف الصيدلية.,اطلع تشوف صيدلية.,روح دغري تشوف صيدلية.,أمشي طول تشوف الصيدلية.,أمشي علطول تلقي صيدلية.,إمشي مباشرة تشوف صيدلية.,امش سيده تشوف صيدلية.,سير نيشان تلقى الصيدلية.,امشي سيدا تلاقي الصيدلية.,خليك دغري لتلاقي صيدلية.,أمشي دغري تشوف صيدلية.,امشي اتشوف صيدليه.,استمر السير الطريق تجد صيدلية,روح سيده تشوف الصيدلية.,سير نيشان تشوف صيدلية.,امش طول تلقى صيدلية.,روح دغري تشوف الصيدلية.,امشي طوالي لوما تبسر صيدليه.,كمل القدام تارى الفارمسي.,برا طول تشوف صيدلية.,امشي طول طول تشوف صيدلية.
26,الفطور؟,بكام الفطار؟,القهوة تع الصباح؟,كم سعر الفطور؟,بكام الفطار ده؟,شكد يكلف الريوك؟,الريوك؟,أدي حق الترويقة؟,الفطور؟,بكام الفطار؟,بأديش الفطور؟,الريوق؟,الثمن ديال الفطور؟,الفطور؟,قديش الفطور؟,بي كم الفطور؟,التغيوقه؟,كم تكلفة الإفطار,بجم سعر الريوق؟,كا يدير الفطور؟,الفطور؟,قديش حق هالفطور؟,الصبوح؟,فطور الصباح؟,الفطور؟,فطور الصباح؟
27,شلون أساعدك؟,إزاى أقدر أساعدك؟,نعاونك؟,كيف أساعدك؟,إزاي أقدر اساعدك؟,شلون اكدر اساعدك؟,شلون اكدر اساعدك؟,كيف فيني ساعدك؟,كيف نساعدك؟,ازاي أقدر اساعدك؟,كيف فيني ساعدك؟,شلون اساعدك؟,نساعدك؟,كيف أقدر اساعدك؟,كيف أساعدك؟,كيف اساعدك؟,اشون اطيق اساعدك؟,كيف أستطيع مساعدتك,كيف اساعدك؟,نعاونك؟,كيف اساعدك؟,كيف اساعدك؟,كيف اساعدك؟,النجم نعاونك؟,كيف نساعدك؟,انجم نعاونك؟
30,روح عاليسار تالت مفرق.,روح شمال الناصية الثالثة.,دور اليسار الطريق الثالثة.,روح يسار الدخلة التالتة.,امشي شمال الناصية التالتة.,اخذ يسره ثالث زوية.,اخذ يسرة يم ثالث ركن.,روح شمال عالزاوية التالتة.,أمشي يسار للشوكة الثالثة.,احود شمال الناصية التالته.,لف عالشمال بالدخلة التالتة.,خذ ثالث لفة يسار.,سيرعلى ليسر الزاوية الثالثة.,روح يسار الزواية الثالثة.,روح شمال الكورنر التالتة.,أمشي شمال الكورنة التالتة.,غوح لليساغ عد ثالث زاويه.,اتجه يسارا الناصية الثالثة,سير يسار للتقاطع الثالث.,القنت التالت دور ليسر.,لف يسار ثالث زاوية.,روح شمال الزاوية الثالثة.,اخطى يسار الركن الثالث.,دور الليسار الزنقة الثالثة.,تالت تقاطع خود يسار.,دور الدورة الثالثة عاليسار.
50,بتريد كريمة وسكر بقهوتك؟,تحب كريمة وسكر فى القهوة بتاعتك؟,تحب الكريمة السكر فالقهوة ديالك؟,بتحب الكريمة والسكر قهوتك؟,عايز كريمة وسكر القهوة بتاعتك؟,تحب اخليلك كريم وشكر بالكهوة مالتك؟,تريد كريمة وشكر بكهوتك؟,عبالك كريمة سكر بقهوتك؟,تبي كريمة سكر قهوتك؟,تحب كريمة سكر قهوتك؟,بتحب كريما وسكر القهوة؟,بغيت سكر وكريمة القهوة؟,تبغي كريم وسكر القهوة ديالك؟,تبا كريم وسكر قهوتك؟,بتحب السكر الكريمة قهوتك؟,داير كريمة سكر قهوتك؟,اتغيذ كريمه وشكر بالقهوي مالتك؟,تحب تضع قشدة وسكر قهوتك,تبا نحط كريم سكر بالقهوة؟,تبغي لاكريم السكر القهوة ديالك؟,ودك بكريمة سكر قهوتك؟,بتحب كريما سكر بقهوتك؟,تشتي كريمه وسكر القهوة؟,تحب الكريمة السكر قهوتك؟,تبي حليب سكر قهوتك؟,تحب كريمة سكر قهوتك؟
64,خرج تصرفلي شيك الميتين دولار تبعي؟,تدفع الشيك بتاعى اللى بميتين دولار؟,تصرفلي الميتين دولار تاوعي راهوم فالشاك؟,تصرفلي الشيك بميتين دولار؟,تصرفلى الشيك بتاعى بمتين دولار؟,تصرفلي الصك مالتي أبو الميتين دولار؟,تكدر تصرف صك الميتين دولار مالتي؟,فيك تصرفلي الشيك تبعي تبع المتين دولار؟,تصرفلي شيك ميتين دولار بتاعي؟,تصرفلي شيك بميتين دولار؟,تصرفلي الشيك بقيمة ميتين دولار؟,تصرف قيمة جيكي بو ميتين دولار كاش؟,تصرف الشيك ديالي ديال مئتي دولار؟,تعطيني كاش للشيك دا الميتين دولار؟,بتقدر تصرفلي شك الميتين دولار تبعي؟,يمكنك تصرف شيكي البي متين دولار؟,تطيق تصرفلي شيك قيمتو ميتين دولار؟,يمكنكم صرف الشيك ذو المائتي دولار الخاص بي,تصرفلي شيك بمائتي دولار؟,تخلص الشيك ديالي ديال ميتين دولار؟,تصرف شيك المئتين دولار حقتي؟,بتقدر تصرف الشيك تبعي بميتين دولار؟,تصرف شيك الميتين الدولار؟,تنجم تصبلي الميتين دولار الشاك هذا؟,تصرفلي الشيك متاعي الي بميتين دولار؟,تنجم تصبلي الشاك بميتين دولار متاعي؟
74,يبين، اتصل فيني سمحت.,المفروض يظهر، كلمنى سمحت.,ويدا يظهر، عيطلي فضلك.,ازا يظهر، سمحت كلمني.,المفروض يظهر، كلمني.,صار شي، رجاءً اتصل بيه.,يبين، خابرني بلا زحمة.,يبين، عمل معروف دقلي.,المفروض يبان، كلمني سمحت.,يظهر، سمحت كلمني,بين، اتصل فيني رجاءً.,المفروض يصير، اتصل فيني.,خصه يبان، اتصل بيا عافاك.,يظهر، اتصل عليا سمحت.,ازا يظهر، احكي معي.,مفروض يظهر، فضلك اتصل على.,يبين، رجاءا اتصل بيي.,حدث فضلك أتصل بي,كان مفروض يبين، اتصل فيني سمحت.,إلا خصو يبان، عيط ليا عفاك.,كان يجب يظهر، الرجاء الاتصال بي.,يظهر، سمحت احكي معي.,يظهر، سمحت اتصل لي.,يضهر، كلمني عيشك.,كانا يبان، كلمني سمحت.,يضهر، كلمني عيشك.
86,الكافيه؟,الكوفى شوب؟,جايا القهوة؟,الكوفي شوب؟,الكوفي شوب؟,صايره الكهوة؟,الكهوة؟,القهوة؟,الكافي؟,القهوة؟,القهوة؟,الكوفي شوب؟,كاين المقهى؟,المقهى؟,الكوفي شوب؟,المقهى؟,مكان الجيخانه؟,المقهى,صاير المقهي؟,القهوة؟,المقهى؟,الكوفي شوب؟,الكافيه؟,تجي القهوة؟,مكان القهوه؟,ويني القهوة؟
